,0,1,2,3,4,5,6
0,MLP_3.0,10.25 ± 0.00,10.25 ± 0.00,10.25 ± 0.00,10.25 ± 0.00,10.25 ± 0.00,10.25 ± 0.00
1,GCN_3.0,65.72 ± 1.86,63.61 ± 1.71,61.65 ± 1.70,58.71 ± 1.45,56.46 ± 1.52,54.64 ± 1.36
2,GAT_3.0,62.07 ± 3.20,60.40 ± 3.01,59.47 ± 2.90,58.05 ± 2.84,56.82 ± 2.71,55.89 ± 2.99
3,RUNG_30.0,65.99 ± 1.80,63.97 ± 1.80,62.20 ± 1.81,59.19 ± 1.83,56.62 ± 1.68,54.42 ± 1.72
4,RUNG_3.0,66.59 ± 1.49,64.87 ± 1.54,63.20 ± 1.46,60.41 ± 1.57,58.09 ± 1.65,56.25 ± 1.57
