,0,1,2,3,4,5,6
0,MLP_3.0,16.50 ± 0.00,16.50 ± 0.00,16.50 ± 0.00,16.50 ± 0.00,16.50 ± 0.00,16.50 ± 0.00
1,GCN_3.0,74.76 ± 1.52,43.16 ± 2.20,30.90 ± 2.53,18.00 ± 2.23,11.29 ± 1.87,7.76 ± 1.71
2,GAT_3.0,20.21 ± 0.35,14.03 ± 0.42,10.74 ± 0.30,6.86 ± 0.27,4.77 ± 0.17,3.33 ± 0.08
3,RUNG_30.0,91.14 ± 0.47,79.40 ± 0.53,75.46 ± 0.79,71.30 ± 1.73,69.17 ± 2.76,67.85 ± 3.57
4,RUNG_3.0,88.80 ± 1.28,78.71 ± 1.34,75.10 ± 1.35,71.76 ± 1.48,70.15 ± 1.66,69.17 ± 1.67
