,0,1,2,3,4,5,6
0,MLP_3.0,21.56 ± 0.00,21.56 ± 0.00,21.56 ± 0.00,21.56 ± 0.00,21.56 ± 0.00,21.56 ± 0.00
1,GCN_3.0,76.91 ± 1.11,75.46 ± 1.06,73.92 ± 1.00,71.60 ± 1.01,69.35 ± 1.19,67.55 ± 1.42
2,GAT_3.0,75.50 ± 2.06,74.31 ± 2.03,73.35 ± 2.02,71.86 ± 2.05,70.80 ± 1.39,69.70 ± 1.72
3,RUNG_30.0,76.40 ± 1.76,75.06 ± 1.76,73.74 ± 1.92,71.62 ± 1.81,69.40 ± 1.79,67.66 ± 1.71
4,RUNG_3.0,76.31 ± 1.84,75.24 ± 1.78,74.24 ± 1.75,72.10 ± 1.85,70.27 ± 1.94,68.86 ± 1.83
